sentence,label,url
"Pregnant GB shooter Mwandumba's twin aims. ""It's not a normal thing people do!"" GB shooter Ruth Mwandumba is competing at the European Championships while six months pregnant with twins.",True,https://www.bbc.com/sport/shooting/articles/c3d8p07kerpo
"Heavyweight boxing legend George Foreman dies aged 76, says family. Boxing heavyweight legend George Forman has died aged 76, according to his family.",True,https://www.bbc.com/news/articles/ckg8ez8201yo
Kildunne starts as England make 13 changes for Wales. England head coach John Mitchell makes 13 changes to his starting XV to face Wales in Saturday's Women's Six Nations game at Principality Stadium.,True,https://www.bbc.com/sport/rugby-union/articles/cn4ye8987w2o
Djokovic reaches Miami final to close on 100th title. Novak Djokovic eases past Grigor Dimitrov to reach his first Miami Open final since 2016 and move within one win of his 100th career ATP title,True,https://www.bbc.com/sport/tennis/articles/cvgwg4n9geko
"Grainger 'frustrated' Britain not hosting more events. Outgoing UK Sport chair Dame Katherine Grainger says it is ""frustrating"" that Britain is not staging more major events over the next decade, warning of ""a big gap"".",True,https://www.bbc.com/sport/articles/c17q4rr152go
"A former Olympic snowboarder makes the FBI's Most Wanted list. Ryan Wedding, a former Canadian Olympic snowboarder-turned-alleged-drug trafficker, ""went from shredding powder on the slopes at the Olympics to distributing powder cocaine,"" the FBI says.",True,https://www.npr.org/2025/03/07/nx-s1-5320945/ryan-wedding-olympic-snowboarder-most-wanted
"NWSL preview: Whether you're new to the National Women's Soccer League, or you've been a fan for its past 12 seasons, here's a preview of what you should watch out for when play kicks off this weekend.",True,https://www.npr.org/2025/03/14/nx-s1-5327404/nwsl-women-season-preview
Lindsay Vonn sets a record straight out of retirement. The decorated skier returned to the sport after six years away due to an injury and has already made a splash.,True,https://www.npr.org/2025/03/24/nx-s1-5338753/lindsay-vonn-sets-a-record-straight-out-of-retirement
"Can Faith Kipyegon break four minutes in the mile? Scientists say yes.. Faith Kipyegon, the fastest female miler in the world, could dip under 4 minutes with an extra boost from pacers.",True,https://www.npr.org/2025/03/01/nx-s1-5313453/can-faith-kipyegon-break-four-minutes-in-the-mile-scientists-say-yes
"Alysa Liu ends long U.S. drought at women's figure skating world championships. ""I don't know how to process this,"" the 19-year-old from Clovis, Calif., said after becoming the first American women's figure skating world champion in nearly two decades.",True,https://www.npr.org/2025/03/29/nx-s1-5344440/alysa-liu-womens-figure-skating-world-championships
"John Feinstein, sports writer and author of 'A Season on the Brink,' dies at 69. Feinstein was comfortable writing fiction and nonfiction, and took on an array of sports, including golf and tennis, but he was known most for his connection to college basketball",True,https://www.npr.org/2025/03/13/g-s1-53748/john-feinstein-dead-obituary
"Savvy Games Group is focused on its own growth instead of reading economic tea leaves | Brian Ward. Savvy Games Group remains focused on investing in growth in games, esports and the Saudi Arabian ecosystem.",True,https://venturebeat.com/games/savvy-games-group-is-focused-on-its-own-growth-instead-of-reading-economic-tea-leaves-brian-ward/
