sentence,label,url
"Your Badminton Racket Needs Restringing? There’s a DIY Machine for That. We don’t often get our badminton rackets restrung, but if we did, [kuokuo702]’s PicoBETH project would be where we’d turn.",True,https://hackaday.com/2025/03/27/your-badminton-racket-needs-restringing-theres-a-diy-machine-for-that/
"Men keep proposing to women runners during marathons. It makes some people angry. A man recently proposed to his girlfriend as she crossed the finish line of a marathon, and if this sounds familiar it's because it's not the first, 50th or probably even the 100th time it's happened.",True,https://www.cbc.ca/news/world/marathon-proposals-1.7491884
"Fake video shows robot schooling humans in badminton. While the robot's skills are impressive, the video originally featured a human being.",True,https://www.snopes.com//fact-check/video-robot-badminton/
"The Best Anime Series of 2025 (So Far). The best anime shows of 2025 include the return of ‘The Apothecary Diaries,’ two new series that beat their genre’s reputation for junk, and an ice-skating sports anime.",True,http://www.vulture.com/article/best-anime-new-shows-series-2025.html
"Racquet Sports 101. There are so many racquet sports with varying levels of difficulty, benefits, and #vibes. Find the one that's right for you here.",True,https://www.menshealth.com/health/a63754928/racquet-sports-guide/
"Is Playing Tennis the Secret to Living Longer?. If it feels like everyone and their mother is playing tennis these days, that's because they probably are—and they're getting some serious benefits.",True,https://www.menshealth.com/health/a63754666/tennis-health-longevity-benefits/
Suchai to have Thaksin on his side if elected. Suchai Pornchaisakudom said former Prime Minister Thaksin Shinawatra has agreed to become his chief advisor if he wins the presidential election of the National Olympic Committee of Thailand (NOCT) next week.,True,https://www.bangkokpost.com/sports/2985523/suchai-to-have-thaksin-on-his-side-if-elected
"Sports leaders rue Patama's decision to quit NOCT race. Prominent figures in Thai sports have expressed disappointment over Khunying Patama Leeswadtrakul & rsquo;s decision not to run for the presidency of the National Olympic Committee of Thailand (NOCT)",True,https://www.bangkokpost.com/sports/2985723/sports-leaders-rue-patamas-decision-to-quit-noct-race
"Dechapol, Kittinupong strike gold in Basel. Dechapol Puavaranukroh and Kittinupong Kedren claimed the men's doubles title at the US$250,000 BWF Swiss Open in Basel on Sunday.",True,https://www.bangkokpost.com/sports/2986851/dechapol-kittinupong-strike-gold-in-basel
"Singapore's Yeo Jia Min wins German Open, ends badminton World Tour title drought. This is Yeo's first badminton World Tour title since August 2019 when she won the Super 100 Hyderabad Open.",True,https://www.channelnewsasia.com/sport/badminton-team-singapore-german-open-yeo-jia-min-loh-kean-yew-4970726
"Badminton: Singapore's Loh Kean Yew falls short at German Open, loses to Denmark's Axelsen in final. SINGAPORE: There would be no clean sweep of singles titles for Singapore at the German Open after Singapore's Loh Kean Yew fell to two-time Olympic champion Viktor Axelsen in 54 minutes on Sunday (Mar 2).",True,https://www.channelnewsasia.com/sport/badminton-singapores-loh-kean-yew-falls-short-german-open-loses-denmarks-axelsen-final-4970781
"India women's team has changed view of female sport, says Kohli. The achievements of India's women's cricket team in recent years have revolutionised perceptions towards women's sport, driving increased engagement, commercial success and financial stability, according to batsman Virat Kohli.",True,https://www.channelnewsasia.com/sport/india-womens-team-has-changed-view-female-sport-says-kohli-5006291
"Badminton: Singapore’s Yeo Jia Min, Loh Kean Yew advance to German Open finals. Yeo will face either Japan’s Riko Gunji or Vietnam’s Nguyen Thuy Linh, while Loh will face two-time Olympic champion Viktor Axelsen.",True,https://www.channelnewsasia.com/sport/badminton-singapore-yeo-jia-min-loh-kean-yew-finals-german-open-4969761
"Indian shuttlers face tough challenge at All England Championships amid injuries and form struggles. Birmingham, March 10: Grappling with injuries, health setbacks and poor form, Indian shuttlers will face one of their toughest challenges when they aim to capture the elusive All England Championships beginning here on Tuesday. Since Prakash Padukone’s histor…",True,https://thehillstimes.in/sports/indian-shuttlers-face-tough-challenge-at-all-england-championships-amid-injuries-and-form-struggles
"Ministers, Athletes Join Mansukh Mandaviya To Mark International Women's Day. To mark Womens Day, Mandaviya, Secretary (Sports) Sujata Chaturvedi and former Olympian and badminton star Pulella Gopichand along with other prominent athletes launched the ASMITA newsletter",True,https://sports.ndtv.com/othersports/ministers-athletes-join-sports-minister-mansukh-mandaviya-in-cycle-rally-to-mark-international-womens-day-7877608
"Ahead of IOC election, 350 Olympians urge candidates to make climate action top priority. Around 350 Olympians from 85 countries, including India's Saina Nehwal, have urged the International Olympic Committee to prioritize climate action. The athletes want stronger commitments to cut carbon emissions, promote sustainability, and address polluting …",True,https://economictimes.indiatimes.com/news/sports/ahead-of-ioc-election-350-olympians-urge-candidates-to-make-climate-action-top-priority/articleshow/119013225.cms
"Swiss Open: Can Sindhu reclaim glory?. Star Indian shuttlers PV Sindhu and Lakshya Sen will spearhead a strong contingent at the USD 250,000 Swiss Open, beginning on Tuesday, aiming to regain top form.",True,https://www.rediff.com/sports/report/swiss-open-can-sindhu-reclaim-glory/20250317.htm
"All England Championships: Lakshya Sen pips Jonatan Christie to make quarters. Lakshya Sen defeated defending champion Jonatan Christie 21-13, 21-10 in the second round of the All England Championships, advancing to the quarterfinals. Lakshya will face China's Li Shi Feng next.",True,https://timesofindia.indiatimes.com/sports/badminton/all-england-championships-lakshya-sen-pips-jonatan-christie-to-make-quarters/articleshow/119000982.cms
"All England Championships: Lakshya, Malvika clear first hurdle. Lakshya Sen defeated Li Yang Su of Chinese Taipei in a challenging first-round match at the All England Championships, while Malvika Bansod upset world No.12 Yeo Jia Min to advance.",True,https://timesofindia.indiatimes.com/sports/badminton/all-england-championships-lakshya-malvika-clear-first-hurdle/articleshow/118918572.cms
"Indian challenge ends in All England Championships as Lakshya Sen tamely succumbs to Li Shi Feng. Lakshya Sen, after defeating Jonatan Christie, lost to China's Li Shi Feng in the quarterfinals of the All England Championships. The women's doubles pair of Treesa Jolly and Gayatri Gopichand were also defeated by Chinese players Liu Sheng Shu and Tan Ning.",True,https://timesofindia.indiatimes.com/sports/badminton/indian-challenge-ends-in-all-england-championships-as-lakshya-sen-tamely-succumbs-to-li-shi-feng/articleshow/119029772.cms
"Lakshya Sen crashes out of All-England Open 2025 after losing his quarter-final encounter against Shi Feng Li. Indian Commonwealth Games champion Lakshya Sen exited the All-England Open 2025 quarter-finals after a loss to Shi Feng Li of China. In the women's doubles, Treesa Jolly and Gayatri Gopichand were defeated by Liu Sheng Shu and Tan Ning.",True,https://economictimes.indiatimes.com/news/sports/lakshya-sen-crashes-out-of-all-england-open-2025-after-losing-his-quarter-final-encounter-against-shi-feng-li/articleshow/119030381.cms
"All England: India pin hopes on Satwik-Chirag pairing. Indian shuttlers face a challenging task at the All England Championships starting in Birmingham, struggling with recent form and few notable victories since 2022.",True,https://timesofindia.indiatimes.com/sports/badminton/all-england-india-pin-hopes-on-satwik-chirag-pairing/articleshow/118873198.cms
Lakshya Sen Bows Out Of All England Badminton Quarter-Final. Lakshya Sen's All England campaign ended in the quarterfinals as the Indian shuttler fell to former champion and world No. 6 Li Shi Feng,True,https://sports.ndtv.com/badminton/lakshya-sen-bows-out-of-all-england-badminton-quarter-final-7923189
"India Handed Tough Draw In Badminton Asia Championships. Indias top shuttlers, including Lakshya Sen, were on Tuesday handed a challenging draw in next month's Badminton Asia Championships",True,https://sports.ndtv.com/badminton/india-handed-tough-draw-in-badminton-asia-championships-8010175
"PV Sindhu, Lakshya Sen Hope To Regain Form At Swiss Open. Star shuttlers PV Sindhu and Lakshya Sen will continue their quest to regain top form when the USD 250,000 Swiss Open gets underway in Basel on Tuesday",True,https://sports.ndtv.com/badminton/sindhu-lakshya-hope-to-regain-form-at-swiss-open-7942941
"Satwik-Chirag, Lakshya Drop Out Of Top 10 In Latest BWF Rankings. This marks the first time since November 2021 that the pair has fallen outside the top 10, reflecting a turbulent period in their career following their underwhelming performance at the 2024 Paris Olympics.",True,https://sports.ndtv.com/badminton/satwiksairaj-rankireddy-chirag-shetty-lakshya-sen-drop-out-of-top-10-in-latest-bwf-rankings-7899961
"Lakshya Powers Into All England Open Quarters, Malvika Falters In Pre-Quarter. Malvika Bansod's defeat marked the end of India's women's singles campaign at the All England Open Badminton Championships.",True,https://sports.ndtv.com/badminton/lakshya-sen-powers-into-all-england-open-quarters-malvika-bansod-falters-in-pre-quarter-7916461
"All England Open: Sindhu, Satwiksairaj-Chirag To Lead Indian Challenge. The currently 15th-ranked PV Sindhu will be returning to the court for the first time since January's Indonesia Masters tournament",True,https://sports.ndtv.com/badminton/all-england-open-pv-sindhu-satwiksairaj-rankireddy-chirag-shetty-to-lead-indian-challenge-7896347
"Satwiksairaj Rankireddy, Chirag Shetty Enter All England Second Round. India's Satwiksairaj Rankireddy and Chirag Shetty advanced to the second round of the men's doubles competition at the All England Championships, registering a straight-game victory over Denmark's Daniel Lundgaard and Mads Vestergaard.",True,https://sports.ndtv.com/badminton/satwiksairaj-rankireddy-chirag-shetty-enter-all-england-second-round-7913225
"PV Sindhu to lead Indian challenge at Swiss Open badminton. PV Sindhu, two-time Olympic medalist and 2022 Swiss Open winner, will lead the Indian squad at the Swiss Open badminton tournament in Basel. In the women's singles first round, she will face Malvika Bansod, making it an all-Indian affair.",True,https://economictimes.indiatimes.com/news/sports/pv-sindhu-to-lead-indian-challenge-at-swiss-open-badminton/articleshow/119140623.cms
"All England: India's challenge ends, Lakshya ousted. Later, India's challenge came to a crashing halt after the women's doubles pair of Treesa Jolly and Gayatri Gopichand lost their quarterfinals.",True,https://www.rediff.com/sports/report/all-england-indias-challenge-ends-lakshya-falls-in-quarters/20250314.htm
"BWF Rankings: Lakshya, Satwik-Chirag slip. In women's singles, double Olympic medallist PV Sindhu also dropped one place and is now ranked 16th.",True,https://www.rediff.com/sports/report/bwf-rankings-lakshya-satwik-chirag-slip/20250311.htm
"Christie begins All England title defence with win. Top seed and 2018 winner Shi Yu Qi of China dispatched Indonesia's Chico Aura Dwi Wardoyo 21-13, 21-8 while compatriot Li Shi Feng, world number six, came from behind to beat Canadian Brian Yang 21-11, 18-21, 21-16.",True,https://www.rediff.com/sports/report/christie-begins-all-england-title-defence-with-leong-win/20250311.htm
"All England semis: China's top seed Shi to meet Li. The other semi-final will feature France's Alex Lanier, who beat Taiwan's Wang Tzu-wei 21-19, 21-13, and Lee Chia-hao of Taiwan who defeated Japan's Kenta Nishimoto 21-9, 21-18.",True,https://www.rediff.com/sports/report/all-england-semis-chinas-top-seed-shi-to-meet-compatriot-li/20250315.htm
"Sindhu's All England hopes dashed in opening round. India's top women's singles shuttler, PV Sindhu, suffered a disappointing first-round exit at the All England Open 2025, bowing out to South Korea's Kim Ga Eun in a hard-fought three-game match 21-19, 13-21, 13-21.",True,https://www.rediff.com/sports/report/sindhus-all-england-hopes-dashed-in-opening-round/20250312.htm
Satwik thanks Chirag as they advance in Birmingham. The 24-year-old from Amalapuram expressed his gratitude to his partner for being there during this challenging time.,True,https://www.rediff.com/sports/report/all-england-cships-satwik-thanks-chirag-as-they-roll-into-2nd-round/20250313.htm
"This Ugadi marks a new beginning in our lives: PV Sindhu & Venkata Datta Sai. PV Sindhu and her husband Venkata Datta Sai celebrate their first Ugadi together in their new Bengaluru home. They have invited their families, embracing togetherness and tradition.",True,https://timesofindia.indiatimes.com/entertainment/telugu/movies/news/this-ugadi-marks-a-new-beginning-in-our-lives-pv-sindhu-venkata-datta-sai/articleshow/119744788.cms
